ID,NumberofVisits,LnInc,Sex,LnAge,HHSize
124,0,10.38899537,1,3.496507561,1
125,0,10.02127059,1,3.610917913,2
126,0,10.02127059,1,2.63905733,4
127,0,11.37939407,1,3.33220451,2
128,0,10.91508846,0,3.828641396,5
129,0,11.37939407,1,3.465735903,4
130,0,10.91508846,0,3.951243719,4
131,0,11.19134184,1,2.833213344,1
132,0,11.19134184,0,4.343805422,1
133,0,11.37939407,1,3.36729583,2
134,0,11.37939407,0,3.63758616,2
135,0,11.08214255,1,3.401197382,3
136,8,11.19134184,1,3.401197382,4
137,2,11.08214255,0,4.17438727,2
138,0,10.65725935,0,4.204692619,2
139,0,11.19134184,0,4.17438727,1
140,0,10.02127059,1,4.17438727,2
141,1,10.65725935,1,3.583518938,3
142,2,10.91508846,1,3.465735903,8
143,0,10.65725935,0,3.610917913,1
144,6,11.08214255,0,4.060443011,2
145,0,11.37939407,1,3.465735903,4
146,1,11.73606902,1,3.828641396,2
147,0,10.22194128,0,4.189654742,2
148,0,11.19134184,0,3.891820298,1
149,0,9.528794103,1,3.80666249,1
150,0,11.08214255,0,4.043051268,2
151,0,10.76848499,1,3.713572067,2
152,0,11.08214255,0,4.204692619,2
153,0,10.30895266,0,3.433987204,6
154,0,10.81977828,1,3.36729583,7
155,0,10.81977828,1,2.833213344,7
156,0,10.81977828,1,3.555348061,4
157,0,11.08214255,0,3.258096538,2
158,0,11.08214255,1,3.931825633,2
159,0,10.53209621,1,3.17805383,2
160,0,10.91508846,0,3.218875825,2
161,0,10.53209621,1,3.33220451,1
162,16,11.19134184,1,4.094344562,2
163,0,11.08214255,0,3.737669618,1
164,0,11.19134184,1,3.258096538,4
165,0,10.91508846,1,3.218875825,3
166,0,10.53209621,0,3.36729583,3
167,0,11.73606902,1,3.737669618,2
168,0,10.91508846,1,3.36729583,3
169,1,10.38899537,1,3.951243719,3
170,0,10.91508846,1,3.401197382,2
171,1,10.02127059,0,3.091042453,4
172,0,11.37939407,0,3.526360525,2
173,0,11.08214255,1,3.526360525,2
174,0,10.53209621,1,3.970291914,2
175,0,10.22194128,0,2.564949357,4
176,0,10.53209621,1,3.663561646,3
177,1,11.73606902,0,3.583518938,2
178,0,11.73606902,0,3.465735903,2
179,0,10.65725935,0,3.555348061,1
180,0,9.076808979,0,3.218875825,1
181,0,10.91508846,1,3.36729583,2
182,0,10.91508846,0,3.784189634,2
183,1,11.08214255,1,3.63758616,1
184,0,11.73606902,1,3.33220451,6
185,0,11.73606902,1,3.583518938,6
186,0,10.91508846,1,3.465735903,3
187,0,11.91839057,0,3.33220451,3
188,0,10.53209621,0,3.36729583,1
189,0,10.02127059,1,3.135494216,3
190,0,11.37939407,0,3.583518938,4
191,0,10.22194128,0,3.951243719,3
192,0,9.76995616,0,3.091042453,1
193,9,10.91508846,0,3.295836866,4
194,0,10.81977828,1,3.555348061,5
195,0,10.30895266,1,3.737669618,4
196,0,8.9226583,1,3.713572067,6
197,0,10.76848499,0,3.583518938,4
198,0,10.91508846,1,3.526360525,3
199,0,11.19134184,0,3.091042453,2
200,4,10.65725935,1,3.761200116,4
201,0,10.65725935,0,3.784189634,4
202,0,10.22194128,1,3.526360525,1
203,6,11.37939407,1,3.737669618,4
204,2,11.37939407,0,2.708050201,4
205,1,11.37939407,0,3.891820298,4
206,0,10.22194128,1,3.496507561,1
207,1,10.65725935,1,3.555348061,4
208,1,10.65725935,0,2.079441542,4
209,0,10.91508846,1,3.36729583,2
210,0,10.38899537,0,3.583518938,4
211,0,10.91508846,1,3.33220451,2
212,0,9.76995616,1,3.258096538,1
213,0,10.53209621,0,2.564949357,4
214,0,11.73606902,1,3.784189634,2
215,0,10.38899537,1,3.555348061,3
216,0,11.08214255,1,3.401197382,5
217,0,11.08214255,0,2.63905733,5
218,0,10.76848499,0,3.583518938,2
219,62,11.19134184,0,3.663561646,1
220,0,11.37939407,1,4.094344562,2
221,0,10.38899537,0,3.401197382,2
222,2,10.65725935,0,3.36729583,2
223,0,10.53209621,1,3.583518938,3
224,0,11.73606902,1,3.610917913,4
225,0,10.91508846,1,4.043051268,1
226,0,11.37939407,1,3.526360525,2
227,0,10.91508846,1,3.433987204,5
228,3,11.08214255,1,3.36729583,4
229,0,10.65725935,1,3.36729583,2
230,0,10.91508846,1,3.465735903,4
231,0,11.19134184,1,3.258096538,2
232,0,10.38899537,0,3.258096538,1
233,0,10.02127059,1,3.496507561,5
234,0,10.91508846,1,3.465735903,2
235,0,10.91508846,0,3.33220451,2
236,0,12.07254125,0,3.850147602,4
237,0,11.19134184,1,3.36729583,1
238,3,10.53209621,0,3.784189634,3
239,0,10.38899537,0,4.127134385,1
240,2,10.76848499,1,3.688879454,4
241,0,10.38899537,1,3.526360525,3
242,0,10.65725935,1,3.970291914,4
243,0,10.65725935,1,3.401197382,4
244,2,11.19134184,0,3.63758616,3
245,2,12.07254125,1,3.891820298,3
246,3,10.02127059,1,3.761200116,5
247,0,10.91508846,1,2.708050201,2
248,3,10.02127059,1,3.135494216,2
249,0,10.38899537,1,3.433987204,2
250,0,10.02127059,0,3.871201011,3
251,0,10.76848499,1,4.127134385,2
252,1,11.37939407,0,3.713572067,2
253,0,10.91508846,1,3.891820298,2
254,0,10.02127059,1,3.218875825,1
255,0,11.73606902,1,3.784189634,5
256,12,10.65725935,0,3.401197382,4
257,0,10.53209621,1,3.610917913,4
258,0,10.02127059,0,3.688879454,8
259,6,10.91508846,0,3.401197382,2
260,0,10.38899537,1,3.828641396,2
261,0,10.22194128,0,3.135494216,2
262,0,10.65725935,1,3.526360525,4
263,2,9.328123408,1,3.044522438,1
264,0,10.38899537,0,4.158883083,3
265,0,10.76848499,0,3.218875825,2
266,1,11.19134184,0,2.772588722,3
267,16,10.53209621,0,3.36729583,2
268,0,10.38899537,0,3.761200116,2
269,1,11.08214255,0,3.761200116,1
270,0,11.19134184,1,3.433987204,3
271,1,10.02127059,0,3.970291914,1
272,1,10.02127059,1,3.850147602,4
273,0,11.73606902,0,4.110873864,3
274,0,11.73606902,0,3.295836866,4
275,0,10.76848499,1,3.970291914,3
276,1,10.38899537,1,3.17805383,3
277,0,11.73606902,1,3.465735903,2
278,0,11.73606902,0,3.555348061,2
279,0,10.53209621,0,3.784189634,5
280,0,11.37939407,1,3.610917913,2
281,0,10.38899537,1,3.433987204,1
282,0,10.53209621,1,3.295836866,4
283,21,10.91508846,1,3.80666249,1
284,0,10.22194128,1,3.401197382,2
285,0,11.08214255,1,3.33220451,2
286,0,12.20607265,1,3.850147602,2
287,0,10.91508846,1,3.555348061,3
288,0,11.37939407,0,3.688879454,1
289,0,11.08214255,1,3.713572067,2
290,0,11.73606902,0,3.871201011,3
291,0,10.53209621,1,3.737669618,2
292,1,10.91508846,0,3.970291914,1
293,0,11.08214255,0,3.401197382,3
294,0,8.9226583,0,3.091042453,1
295,2,10.38899537,1,3.135494216,3
296,0,9.076808979,0,3.044522438,1
297,0,9.328123408,0,3.091042453,2
298,0,10.91508846,0,3.891820298,1
299,0,10.22194128,0,3.784189634,3
300,0,10.38899537,0,3.36729583,5
301,0,10.22194128,1,3.828641396,1
302,0,11.37939407,1,3.218875825,3
303,0,10.38899537,0,3.218875825,3
304,0,10.91508846,1,3.433987204,2
305,3,10.76848499,0,3.988984047,1
306,0,10.91508846,1,3.784189634,5
307,0,12.07254125,1,3.36729583,5
308,3,11.37939407,1,4.276666119,2
309,1,11.37939407,0,4.304065093,2
310,0,9.76995616,0,3.526360525,3
311,3,11.08214255,1,3.496507561,4
312,0,11.08214255,0,3.931825633,4
313,0,10.91508846,1,3.36729583,2
314,0,10.65725935,1,3.258096538,2
315,0,11.08214255,1,3.526360525,4
316,0,10.91508846,0,4.189654742,2
317,0,10.22194128,0,3.295836866,1
318,2,10.91508846,0,4.043051268,5
319,0,11.37939407,1,3.951243719,2
320,3,10.91508846,1,3.63758616,2
321,1,11.37939407,1,4.158883083,2
322,28,11.73606902,0,3.737669618,2
323,0,10.91508846,0,3.713572067,1
324,0,11.19134184,1,3.663561646,3
325,1,11.08214255,0,3.784189634,1
326,0,10.38899537,0,3.555348061,1
327,0,10.76848499,1,3.63758616,3
328,1,10.76848499,1,2.48490665,3
329,1,10.76848499,0,3.988984047,3
330,0,10.91508846,1,3.17805383,3
331,1,10.22194128,1,3.951243719,1
332,0,10.91508846,1,3.433987204,2
333,0,11.37939407,1,3.401197382,2
334,2,11.37939407,1,3.737669618,2
335,1,10.53209621,0,3.828641396,1
336,0,10.91508846,1,3.555348061,1
337,0,11.19134184,0,3.850147602,3
338,0,10.65725935,1,3.912023005,2
339,0,10.91508846,1,2.63905733,3
340,0,11.19134184,0,3.80666249,3
341,0,10.91508846,1,3.610917913,2
342,1,11.73606902,1,3.496507561,2
343,0,11.08214255,1,4.025351691,1
344,0,11.73606902,0,4.127134385,2
345,0,11.19134184,1,3.761200116,2
346,1,11.19134184,1,2.708050201,3
347,0,11.37939407,1,2.772588722,4
348,0,11.37939407,1,2.48490665,4
349,0,11.37939407,0,4.317488114,2
350,0,10.91508846,1,3.970291914,2
351,0,11.08214255,1,4.060443011,3
352,0,11.19134184,0,3.912023005,3
353,4,10.38899537,1,3.496507561,2
354,0,10.91508846,0,3.63758616,2
355,15,11.08214255,1,3.80666249,4
356,12,11.08214255,0,3.784189634,4
357,0,10.91508846,0,3.970291914,3
358,4,10.76848499,0,3.555348061,6
359,0,11.73606902,0,3.871201011,5
360,1,11.73606902,0,4.234106505,2
361,0,10.91508846,1,3.761200116,1
362,0,11.19134184,0,3.988984047,4
363,0,10.53209621,1,2.708050201,5
364,0,10.53209621,0,3.63758616,5
365,0,10.22194128,1,3.258096538,2
366,0,11.73606902,1,3.828641396,3
367,1,10.65725935,1,3.610917913,4
368,2,11.08214255,1,3.988984047,2
369,2,10.76848499,1,3.663561646,3
370,0,10.76848499,1,3.737669618,4
371,0,11.37939407,0,3.988984047,3
372,0,11.37939407,1,3.688879454,5
373,0,10.91508846,1,3.63758616,2
374,25,10.22194128,1,3.713572067,4
375,0,10.91508846,1,3.828641396,3
376,0,11.37939407,0,3.970291914,2
377,0,12.07254125,1,3.871201011,2
378,1,10.91508846,1,4.094344562,2
379,0,11.37939407,1,3.610917913,2
380,0,11.37939407,0,3.912023005,2
381,0,11.08214255,1,3.737669618,3
382,0,11.08214255,0,3.891820298,3
383,3,10.53209621,1,3.891820298,2
384,0,11.37939407,1,3.80666249,6
385,0,11.37939407,0,3.912023005,6
386,1,11.37939407,0,2.63905733,6
387,1,11.37939407,0,2.48490665,6
388,0,11.73606902,0,3.737669618,4
389,0,11.19134184,1,3.713572067,2
390,0,10.02127059,1,4.369447852,2
391,0,11.19134184,1,3.828641396,3
392,0,11.37939407,1,3.496507561,4
393,0,11.37939407,0,3.36729583,4
394,0,10.91508846,1,4.007333185,3
395,0,10.65725935,1,3.663561646,3
396,1,10.65725935,0,3.583518938,3
397,0,11.37939407,1,3.988984047,2
398,0,10.91508846,1,3.583518938,4
399,2,10.91508846,0,3.610917913,4
400,0,10.65725935,1,3.583518938,6
401,0,10.38899537,1,3.761200116,4
402,5,11.19134184,1,4.127134385,1
403,0,10.53209621,1,3.555348061,3
404,0,10.53209621,0,2.63905733,3
405,4,10.65725935,1,3.401197382,3
406,0,11.19134184,0,3.828641396,5
407,0,10.53209621,1,3.970291914,2
408,1,10.22194128,1,4.094344562,2
409,0,10.38899537,1,3.610917913,2
410,0,10.91508846,1,3.63758616,4
411,0,11.73606902,1,3.63758616,4
412,0,11.73606902,0,2.833213344,4
413,0,11.73606902,0,2.564949357,4
414,0,11.08214255,1,3.871201011,3
415,0,10.02127059,1,3.610917913,5
416,0,11.37939407,1,3.828641396,3
417,0,10.91508846,1,3.583518938,2
418,0,11.08214255,0,3.80666249,4
419,0,11.37939407,1,3.871201011,2
420,1,10.38899537,1,3.970291914,1
421,0,10.53209621,1,3.218875825,2
422,0,10.65725935,0,3.610917913,4
423,3,11.37939407,1,3.610917913,4
424,0,10.91508846,1,3.713572067,3
425,0,11.73606902,0,3.737669618,4
426,1,11.19134184,1,3.610917913,2
427,1,10.76848499,1,3.465735903,3
428,5,11.08214255,0,4.094344562,1
429,2,10.91508846,0,4.189654742,2
430,0,11.37939407,1,3.828641396,4
431,0,11.73606902,1,4.007333185,1
432,0,11.73606902,1,3.044522438,1
433,1,10.53209621,1,3.555348061,1
434,5,10.76848499,0,3.850147602,2
435,0,10.65725935,0,3.784189634,1
436,0,10.22194128,0,2.708050201,3
437,0,9.528794103,1,2.708050201,4
438,18,10.91508846,1,3.433987204,4
439,4,10.91508846,0,3.583518938,4
440,1,11.19134184,1,4.043051268,2
441,0,11.08214255,1,4.025351691,5
442,0,11.08214255,1,3.401197382,5
443,1,11.08214255,0,4.025351691,2
444,0,10.76848499,1,3.988984047,2
445,0,11.37939407,1,3.828641396,4
446,0,10.91508846,1,3.850147602,2
447,5,11.73606902,0,3.871201011,2
448,0,11.37939407,1,4.077537444,2
449,1,10.81977828,1,3.583518938,5
450,0,11.37939407,1,3.295836866,4
451,0,11.19134184,0,3.784189634,5
452,0,11.19134184,0,2.302585093,5
453,2,11.37939407,1,3.465735903,2
454,0,10.38899537,1,3.761200116,1
455,0,11.08214255,1,4.234106505,2
456,0,11.08214255,0,3.80666249,2
457,0,10.65725935,1,3.36729583,2
458,0,9.76995616,1,3.784189634,2
459,0,9.76995616,1,2.772588722,2
460,2,10.65725935,0,3.784189634,1
461,0,11.08214255,1,3.970291914,2
462,0,10.91508846,0,3.713572067,4
463,0,11.08214255,0,3.737669618,4
464,9,10.38899537,1,3.36729583,2
465,0,11.19134184,1,3.828641396,3
466,0,10.53209621,1,3.951243719,2
467,0,10.53209621,0,4.060443011,2
468,2,11.19134184,1,3.891820298,5
469,3,11.19134184,0,3.912023005,5
470,0,11.08214255,1,3.951243719,2
471,0,10.65725935,1,4.158883083,1
472,0,10.81977828,1,3.713572067,2
473,0,11.73606902,1,3.931825633,4
474,0,10.76848499,1,3.80666249,4
475,2,11.37939407,1,3.688879454,4
476,1,11.37939407,1,4.110873864,2
477,0,10.91508846,1,3.401197382,2
478,79,10.53209621,1,3.583518938,4
479,1,10.53209621,0,3.496507561,4
480,5,10.65725935,1,3.713572067,2
481,0,10.91508846,0,3.737669618,4
482,0,10.76848499,1,4.094344562,2
483,8,11.37939407,1,3.891820298,3
484,0,11.19134184,1,3.555348061,2
485,1,9.76995616,0,3.044522438,1
486,0,10.53209621,1,3.465735903,2
487,0,10.02127059,1,3.091042453,1
488,0,11.73606902,0,3.828641396,2
489,1,11.37939407,1,3.828641396,3
490,0,10.91508846,1,3.610917913,3
491,0,10.22194128,1,3.850147602,2
492,0,11.37939407,1,3.63758616,3
493,0,10.65725935,1,3.465735903,2
494,0,11.19134184,0,1.386294361,2
495,0,11.08214255,0,4.219507705,3
496,2,11.73606902,1,3.988984047,2
497,0,10.38899537,0,3.931825633,2
498,0,9.528794103,1,3.951243719,5
499,1,10.91508846,1,3.988984047,2
500,0,11.37939407,1,3.988984047,2
501,0,11.08214255,0,2.397895273,4
502,0,10.53209621,1,2.833213344,7
503,0,9.528794103,1,4.189654742,1
504,0,11.08214255,0,4.060443011,1
505,0,11.37939407,1,3.688879454,4
506,0,10.65725935,0,3.496507561,3
507,3,9.76995616,0,4.17438727,1
508,0,11.37939407,0,4.574710979,4
509,0,11.37939407,0,4.060443011,4
510,0,11.73606902,0,4.127134385,2
511,0,10.22194128,0,3.63758616,6
512,0,11.73606902,0,4.394449155,2
513,2,10.22194128,0,4.127134385,1
514,2,12.20607265,0,3.713572067,4
515,1,10.22194128,1,3.80666249,5
516,16,11.73606902,0,4.077537444,2
517,0,11.08214255,1,3.583518938,2
518,0,10.53209621,0,4.248495242,2
519,5,11.37939407,0,3.784189634,5
520,0,10.91508846,1,4.025351691,3
521,0,10.91508846,0,4.025351691,3
522,1,11.19134184,0,4.025351691,2
523,0,10.91508846,1,3.526360525,4
524,0,11.73606902,1,4.025351691,4
525,0,11.37939407,1,4.094344562,2
526,1,10.65725935,0,4.007333185,2
527,0,10.76848499,0,3.688879454,2
528,0,11.08214255,1,3.970291914,2
529,0,11.08214255,0,4.025351691,2
530,0,11.73606902,1,2.708050201,4
531,0,10.38899537,0,4.204692619,1
532,0,11.37939407,1,2.995732274,2
533,0,11.08214255,1,2.708050201,4
534,0,11.08214255,0,3.688879454,4
535,0,10.91508846,1,4.043051268,2
536,0,10.91508846,1,3.63758616,2
537,0,11.37939407,1,3.951243719,3
538,0,10.91508846,0,3.850147602,3
539,0,10.91508846,0,2.708050201,3
540,1,10.38899537,0,4.317488114,1
541,2,11.19134184,0,4.127134385,2
542,10,11.73606902,0,3.63758616,2
543,16,11.73606902,0,3.63758616,2
544,0,10.91508846,0,4.158883083,2
545,1,10.53209621,0,3.784189634,1
546,5,10.22194128,0,3.63758616,1
547,0,10.38899537,0,3.951243719,1
548,1,11.11988288,1,3.891820298,6
549,0,10.91508846,0,4.077537444,2
550,0,10.22194128,1,3.761200116,6
551,0,11.08214255,0,4.248495242,2
552,5,11.73606902,1,4.17438727,2
553,0,11.73606902,1,3.871201011,3
554,0,9.328123408,1,3.951243719,1
555,0,11.08214255,1,3.044522438,4
556,0,10.91508846,1,3.988984047,2
557,1,10.38899537,0,4.025351691,2
558,0,12.20607265,0,3.737669618,4
559,3,10.53209621,0,3.737669618,1
560,0,11.08214255,0,3.80666249,4
561,0,10.65725935,1,2.63905733,4
562,0,10.53209621,0,3.688879454,2
563,22,11.37939407,0,3.401197382,2
564,0,10.53209621,0,3.663561646,4
565,0,10.53209621,0,3.850147602,2
566,0,10.81977828,0,4.060443011,2
567,2,10.53209621,1,3.912023005,2
568,0,10.91508846,0,3.891820298,4
569,3,11.19134184,1,3.555348061,4
570,0,10.38899537,1,2.772588722,5
571,0,11.19134184,1,2.890371758,5
572,0,11.73606902,1,3.871201011,2
573,0,11.11988288,1,3.401197382,5
574,0,11.73606902,1,3.583518938,3
575,1,11.08214255,1,3.496507561,3
576,0,11.37939407,1,3.218875825,5
577,0,10.30895266,1,3.295836866,5
578,0,10.76848499,0,3.931825633,2
579,0,12.20607265,1,3.784189634,2
580,0,11.08214255,0,3.36729583,2
581,0,10.53209621,0,2.890371758,5
582,1,11.08214255,0,3.465735903,3
583,0,11.08214255,0,3.828641396,3
584,5,9.76995616,1,3.912023005,1
585,0,11.37939407,0,3.784189634,4
586,2,11.73606902,0,3.912023005,2
587,0,11.73606902,1,4.007333185,5
588,0,10.81977828,1,4.043051268,3
589,0,10.30895266,1,4.094344562,3
590,0,11.73606902,0,3.737669618,2
591,0,11.19134184,1,4.234106505,2
592,0,10.76848499,0,4.143134726,2
593,0,10.76848499,1,3.737669618,4
594,0,11.37939407,1,2.833213344,4
595,15,11.73606902,0,3.988984047,2
596,1,11.73606902,0,3.784189634,7
597,0,11.19134184,1,3.988984047,2
598,0,11.73606902,1,3.663561646,4
599,0,10.30895266,1,3.784189634,2
600,0,11.91839057,1,3.80666249,4
601,0,11.37939407,0,3.850147602,4
602,0,11.37939407,1,3.737669618,2
603,0,11.37939407,0,4.248495242,2
604,0,10.91508846,0,3.784189634,6
605,0,11.11988288,0,3.688879454,5
606,2,11.19134184,1,3.713572067,3
607,0,11.08214255,1,3.401197382,3
608,0,11.11988288,1,3.931825633,3
609,0,11.11988288,1,3.496507561,2
610,0,10.91508846,0,2.772588722,4
611,0,10.02127059,1,3.17805383,3
612,0,11.37939407,1,3.33220451,5
613,1,11.19134184,1,3.871201011,3
614,0,11.37939407,1,3.828641396,2
615,0,10.91508846,1,4.025351691,2
616,0,11.73606902,1,4.043051268,2
617,0,10.81977828,1,3.583518938,3
618,2,10.81977828,1,3.63758616,7
619,1,10.76848499,0,3.713572067,2
620,0,11.11988288,1,2.48490665,7
621,0,11.11988288,0,3.688879454,7
622,1,10.38899537,0,3.218875825,3
623,2,10.38899537,0,3.135494216,3
624,0,11.11988288,1,3.970291914,3
625,0,11.37939407,1,3.555348061,1
626,0,10.30895266,0,3.36729583,2
627,0,10.91508846,1,3.663561646,4
628,0,11.11988288,0,3.044522438,4
629,1,10.76848499,0,3.688879454,2
630,0,11.08214255,1,4.094344562,4
631,0,10.81977828,1,3.218875825,6
632,0,11.37939407,0,3.610917913,3
633,0,10.30895266,1,2.772588722,2
634,0,10.81977828,1,4.276666119,3
635,1,10.30895266,0,3.891820298,6
636,1,9.903487553,1,3.091042453,2
637,0,9.903487553,0,2.772588722,2
638,0,11.19134184,0,4.127134385,2
639,1,10.81977828,1,3.433987204,5
640,0,11.37939407,1,2.708050201,6
641,1,9.903487553,1,3.33220451,2
642,0,10.65725935,1,3.583518938,3
643,1,10.53209621,1,3.663561646,3
644,0,10.53209621,1,3.951243719,2
645,0,10.81977828,1,3.931825633,4
646,0,10.81977828,0,3.931825633,4
647,0,11.08214255,0,3.465735903,2
648,12,10.81977828,1,3.401197382,6
649,8,11.08214255,1,3.663561646,6
650,0,11.08214255,1,2.197224577,6
651,0,11.08214255,0,2.890371758,6
652,0,11.08214255,0,2.708050201,6
653,1,11.37939407,0,3.951243719,3
654,0,10.53209621,1,4.043051268,2
655,2,11.37939407,0,3.784189634,3
656,0,10.38899537,1,3.688879454,2
657,1,10.76848499,0,4.219507705,2
658,0,10.91508846,1,3.663561646,7
659,5,10.65725935,0,3.555348061,5
660,0,12.07254125,1,2.397895273,4
661,0,10.81977828,1,2.772588722,4
662,0,10.81977828,0,3.931825633,4
663,0,10.30895266,1,3.33220451,4
664,2,10.65725935,1,3.465735903,1
665,0,11.37939407,1,3.688879454,5
666,0,11.11988288,0,2.48490665,5
667,0,10.30895266,1,3.555348061,2
668,0,10.30895266,1,2.63905733,5
669,0,11.19134184,1,3.33220451,2
670,0,10.38899537,1,2.772588722,4
671,0,10.30895266,1,3.401197382,4
672,0,10.81977828,1,3.610917913,2
673,0,10.22194128,0,3.17805383,3
674,0,11.73606902,1,3.433987204,2
675,3,11.19134184,0,4.204692619,2
676,0,12.20607265,1,2.708050201,5
677,0,11.37939407,1,3.610917913,5
678,0,10.91508846,1,3.401197382,3
679,0,11.08214255,1,3.80666249,3
680,0,11.37939407,1,3.912023005,2
681,0,10.65725935,0,3.970291914,3
682,0,10.22194128,1,3.401197382,3
683,0,10.02127059,1,4.158883083,3
684,1,10.91508846,0,3.784189634,3
685,0,11.73606902,0,3.784189634,6
686,0,11.73606902,0,3.63758616,4
687,0,10.30895266,0,3.988984047,7
688,0,10.30895266,1,2.833213344,4
689,0,10.81977828,1,3.891820298,3
690,0,10.30895266,1,4.025351691,2
691,2,10.30895266,0,3.17805383,3
692,0,9.903487553,1,3.583518938,2
693,1,11.11988288,1,3.583518938,5
694,1,10.30895266,1,3.526360525,5
695,0,10.53209621,1,3.36729583,3
696,3,11.37939407,1,3.295836866,3
697,0,11.37939407,0,3.737669618,3
